Ana Kelime,Yasaklı Kelime 1 (İpucu),Yasaklı Kelime 2,Yasaklı Kelime 3,Yasaklı Kelime 4,Yasaklı Kelime 5,Alt Kategori (Set),Nadirlik (Rarity)
Paulo Wanchope,Derby County,West Ham,Manchester City,Kosta Rika,Forvet,Kulüpler & Mabedler,Epic
Dwight Yorke,Aston Villa,Sydney FC,Manchester United,Trinidad ve Tobago,Forvet,Kulüpler & Mabedler,Epic
John Barnes,Watford,Jamaika Doğumlu,Liverpool,İngiltere,Sol Kanat,Kulüpler & Mabedler,Epic
Ian Rush,Chester City,Juventus,Liverpool,Galler,Santrfor,Kulüpler & Mabedler,Epic
Mark Hughes,Bayern Münih,Barcelona,Manchester United,Galler,Forvet,Kulüpler & Mabedler,Epic
Gary Speed,Leeds United,Newcastle,Galler,Orta Saha,Kaptan,Kulüpler & Mabedler,Epic
Jari Litmanen,MyPa,Barcelona,Ajax,Finlandiya,10 Numara,Kulüpler & Mabedler,Epic
Sami Hyypia,MyPa,Willem II,Liverpool,Finlandiya,Stoper,Kulüpler & Mabedler,Epic
Tore Andre Flo,Brann,Chelsea,Rangers,Norveç,Santrfor,Kulüpler & Mabedler,Epic
Eidur Gudjohnsen,PSV,Bolton,Chelsea,Barcelona,İzlanda,Kulüpler & Mabedler,Epic
Emil Kostadinov,Porto,Bayern Münih,1993 Paris Golü,Bulgaristan,Forvet,Kulüpler & Mabedler,Epic
Marek Hamsik,Brescia,Trabzonspor,Mohikan Saç,Napoli,Slovakya,Kulüpler & Mabedler,Epic
Goran Pandev,Belasica,Lazio,Inter,Kuzey Makedonya,Forvet,Kulüpler & Mabedler,Epic
Savo Milosevic,Partizan,Parma,Real Zaragoza,Sırbistan,Santrfor,Yeşil Saha Efsaneleri,Rare
Mateja Kezman,Partizan,PSV,Chelsea,Fenerbahçe,Sırbistan,Kulüpler & Mabedler,Epic
Sinisa Mihajlovic,Vojvodina,Kızılyıldız,Lazio,Frikik,Sırbistan,Kulüpler & Mabedler,Epic
Angelos Charisteas,Werder Bremen,Ajax,2004 Final Golü,Yunanistan,Santrfor,Kulüpler & Mabedler,Epic
Tugay Kerimoglu,Gaziantepspor,Rangers,Blackburn,Galatasaray,Orta Saha,Kulüpler & Mabedler,Epic
Ogün Temizkanoğlu,Akçaabat Sebatspor,Fenerbahçe,Trabzonspor,Türkiye,Stoper,Kulüpler & Mabedler,Epic
Abdullah Ercan,Gençlerbirliği,Fenerbahçe,Trabzonspor,Türkiye,Sol Bek,Kulüpler & Mabedler,Epic
Hakan Ünsal,Blackburn,Küçük Hakan,Galatasaray,Türkiye,Sol Bek,Kulüpler & Mabedler,Epic
Bülent Korkmaz,Büyük Kaptan,Tek Kulüp,Galatasaray,Türkiye,Stoper,Kulüpler & Mabedler,Epic
Ottmar Hitzfeld,Grasshoppers,İki Farklı Kulüple Avrupa,Bayern Münih,Borussia Dortmund,Almanya,Kulüpler & Mabedler,Epic
Jupp Heynckes,Athletic Bilbao,Tenerife,Üçleme,Bayern Münih,Almanya,Kulüpler & Mabedler,Epic
Vicente del Bosque,Bıyık,Real Madrid,2010 Dünya Kupası,İspanya,Teknik Direktör,Kupalar & Turnuvalar,Epic
Luis Aragones,Bilge Hortaleza,Atletico Madrid,2008 Avrupa Şampiyonu,İspanya,Teknik Direktör,Kulüpler & Mabedler,Epic
Otto Rehhagel,Kaiserslautern,Rehakles,2004 Avrupa Şampiyonu,Yunanistan,Almanya,Futbol Terimleri & Taktikler,Common
Sven Goran Eriksson,IFK Göteborg,Lazio,İngiltere Milli Takımı,İsveç,Teknik Direktör,Kulüpler & Mabedler,Epic
Huddersfield Town,Üç Üst Üste Lig,John Smith's Stadium,Terriers,İngiltere,Mavi Beyaz,Kulüpler & Mabedler,Epic
Blackburn Rovers,Ewood Park,1995 Şampiyonu,Rovers,İngiltere,Mavi Beyaz,Yeşil Saha Efsaneleri,Rare
Sampdoria,Blucerchiati,Luigi Ferraris,Cenova,İtalya,Mavi,Yeşil Saha Efsaneleri,Rare
Parma,Ennio Tardini,Crociati,1990'lar Kupaları,İtalya,Sarı Mavi,Kupalar & Turnuvalar,Epic
Hellas Verona,Bentegodi,Gialloblu,1985 Şampiyonu,İtalya,Verona,Yeşil Saha Efsaneleri,Rare
Udinese,Dacia Arena,Zebrette,Friuli,İtalya,Siyah Beyaz,Yeşil Saha Efsaneleri,Rare
Cagliari,Riva,Sardinya,Rossoblu,İtalya,1970 Şampiyonu,Yeşil Saha Efsaneleri,Rare
Saint Étienne,Geoffroy-Guichard,Les Verts,On Şampiyonluk,Fransa,Yeşil,Yeşil Saha Efsaneleri,Rare
Sochaux,Peugeot,Stade Bonal,Sarı Mavi,Fransa,Tarihi Kulüp,Kulüpler & Mabedler,Epic
Kaiserslautern,Fritz-Walter-Stadion,Betzenberg,Kırmızı Şeytanlar,Almanya,1998 Şampiyonu,Kulüpler & Mabedler,Epic
Hamburg,Volksparkstadion,Dinozor,1983 Avrupa Kupası,Almanya,Mavi Beyaz,Kupalar & Turnuvalar,Epic
Nürnberg,Der Club,Max-Morlock-Stadion,Dokuz Şampiyonluk,Almanya,Bordo,Kulüpler & Mabedler,Epic
Real Oviedo,Carlos Tartiere,Asturias,Mavi,İspanya,Carbayones,Yeşil Saha Efsaneleri,Rare
Athletic Club,Lezama,Sadece Bask Oyuncular,San Mamés,İspanya,Kırmızı Beyaz,Yeşil Saha Efsaneleri,Rare
Vitoria Guimaraes,Afonso Henriques,Conquistadores,Minho,Portekiz,Siyah Beyaz,Kulüpler & Mabedler,Epic
Belenenses,Restelo,Belem,Mavi,Portekiz,Lizbon,Yeşil Saha Efsaneleri,Rare
Boavista,Bessa,Panterler,Damalı Forma,Portekiz,Porto,Kulüpler & Mabedler,Epic
Standard Liege,Sclessin,Les Rouches,Belçika,Kırmızı,Liege,Yeşil Saha Efsaneleri,Rare
Anderlecht,Lotto Park,Mor Beyaz,Brüksel,Belçika,RSCA,Yeşil Saha Efsaneleri,Rare
Club Brugge,Jan Breydel,Mavi Siyah,Brugge,Belçika,Blauw-Zwart,Yeşil Saha Efsaneleri,Rare
Feyenoord,De Kuip,Rotterdam,Hollanda,Kırmızı Beyaz,Legioen,Yeşil Saha Efsaneleri,Rare
PSV,Philips Stadion,Eindhoven,Hollanda,Kırmızı Beyaz,Boeren,Kulüpler & Mabedler,Epic
Sparta Prag,Letná,Rudí,Çekya,Bordo,Prag,Yeşil Saha Efsaneleri,Rare
Slavia Prag,Eden Arena,Sešívaní,Çekya,Kırmızı Beyaz,Prag,Yeşil Saha Efsaneleri,Rare
Ferencvaros,Groupama Arena,Fradi,Macaristan,Yeşil Beyaz,Budapeşte,Futbol Terimleri & Taktikler,Common
Legia Varşova,Polonya Ordusu Stadı,Wojskowi,Polonya,Yeşil Beyaz,Varşova,Kulüpler & Mabedler,Epic
Dinamo Kiev,Valeriy Lobanovskyi Stadı,Ukrayna,Mavi Beyaz,Dinamo,Kiev,Kulüpler & Mabedler,Epic
Kızılyıldız,Marakana,Delije,Belgrad,Sırbistan,Kırmızı Beyaz,Yeşil Saha Efsaneleri,Rare
Partizan,Grobari,Belgrad,Sırbistan,Siyah Beyaz,Ezeli Rekabet,Yeşil Saha Efsaneleri,Rare
Steaua Bükreş,1986 Avrupa Kupası,Bükreş,Romanya,Kırmızı Mavi,Ordu Kulübü,Kupalar & Turnuvalar,Epic
Levski Sofya,Georgi Asparuhov,Bulgaristan,Mavi,Sofya,Levski,Yeşil Saha Efsaneleri,Rare
Hajduk Split,Poljud,Torcida,Hırvatistan,Beyaz,Split,Yeşil Saha Efsaneleri,Rare
Dinamo Zagreb,Maksimir,Bad Blue Boys,Hırvatistan,Mavi,Zagreb,Yeşil Saha Efsaneleri,Rare
Al Ahly,Kahire,Kırmızı Şeytanlar,CAF Şampiyonlar Ligi,Mısır,Afrika Devi,Yeşil Saha Efsaneleri,Rare
Zamalek,Beyaz Şövalyeler,Kahire,Mısır,Beyaz,Afrika,Yeşil Saha Efsaneleri,Rare
Paulo Wanchope,Derby County,West Ham,Manchester City,Kosta Rika,Forvet,Kulüpler & Mabedler,Epic
Dwight Yorke,Aston Villa,Sydney FC,Manchester United,Trinidad ve Tobago,Forvet,Kulüpler & Mabedler,Epic
Tim Cahill,Millwall,Köşe Bayrağı Boksu,Everton,Avustralya,Kafa Golü,Kulüpler & Mabedler,Epic
